"","stnr","z","x","y","NO"
"230",18195,80,266339,6648019,TRUE
"231",18200,93,265984,6649047,TRUE
"232",18205,88,264787,6650954,TRUE
"233",18210,100,265518,6650271,TRUE
"234",18215,155,267118,6651208,TRUE
"235",18220,135,266299,6651371,TRUE
"236",18225,204,267097,6652817,TRUE
"237",18230,90,267290,6650639,TRUE
"238",18233,120,268975,6652487,TRUE
"239",18235,160,270853,6652057,TRUE
"240",18240,160,270450,6651614,TRUE
"241",18245,201,269702,6654719,TRUE
"242",18250,236,269168,6654865,TRUE
"243",18260,181,272476,6652493,TRUE
"244",18269,123,271371,6653365,TRUE
"245",18270,200,273036,6654680,TRUE
"246",18300,77,264317,6649644,TRUE
"247",18310,19,263823,6649452,TRUE
"248",18320,12,262808,6651281,TRUE
"249",18350,83,262576,6651609,TRUE
"250",18390,74,262542,6652560,TRUE
"251",18400,90,263508,6651549,TRUE
"252",18410,140,265310,6652294,TRUE
"253",18420,130,264918,6652911,TRUE
"254",18440,162,264740,6654508,TRUE
"255",18450,173,265049,6655761,TRUE
"256",18500,360,259962,6664957,TRUE
"257",18550,389,259220,6671092,TRUE
"258",18600,464,255811,6676255,TRUE
"259",18630,12,261902,6648805,TRUE
"260",18640,10,261209,6649095,TRUE
"261",18645,25,260776,6649592,TRUE
"262",18650,25,260615,6649446,TRUE
"263",18651,25,260615,6649446,TRUE
"264",18652,23,262183,6649245,TRUE
"265",18690,20,259866,6649316,TRUE
"266",18700,94,260967,6652718,TRUE
"267",18701,94,260972,6652718,TRUE
"268",18702,94,260975,6652762,TRUE
"269",18703,96,260936,6652754,TRUE
"270",18750,195,261884,6655384,TRUE
"271",18800,23,257684,6648208,TRUE
"272",18815,15,258620,6648705,TRUE
"273",18850,53,258258,6651990,TRUE
"274",18890,178,259394,6654629,TRUE
"275",18920,240,260164,6654412,TRUE
"276",18950,514,258447,6657618,TRUE
"277",18960,528,258392,6658057,TRUE
"278",18980,39,256024,6650584,TRUE
"279",19020,346,257732,6655766,TRUE
"280",19050,170,256554,6659451,TRUE
"281",19100,319,254768,6663714,TRUE
"282",2970,273,359219,6682246,TRUE
"283",5450,200,327017,6675745,TRUE
"284",5495,185,336721,6666400,TRUE
"285",5590,148,334039,6676368,TRUE
"286",5650,175,335367,6679597,TRUE
"287",5660,150,339038,6683214,TRUE
"288",5670,150,338660,6684681,TRUE
"289",12180,182,293433,6746801,TRUE
"290",12290,132,287708,6746937,TRUE
"291",12291,125,288472,6747315,TRUE
"292",12310,132,283618,6748221,TRUE
"293",12320,221,286299,6748919,TRUE
"294",6750,675,279512,6788271,TRUE
"295",6760,870,278192,6795791,TRUE
"296",12520,205,280093,6746337,TRUE
"297",12550,128,271629,6744837,TRUE
"298",12580,230,272099,6760666,TRUE
"299",12590,20,265532,6762512,TRUE
"300",12600,161,266067,6765269,TRUE
"301",12750,520,263020,6783759,TRUE
"302",12800,520,266802,6783171,TRUE
"303",12950,860,268262,6787442,TRUE
"304",12960,931,269273,6788705,TRUE
"305",6690,270,305455,6752866,TRUE
"306",12250,324,308415,6742617,TRUE
"307",12260,349,308466,6741934,TRUE
"308",5380,252,308557,6717882,TRUE
"309",12050,160,297562,6726329,TRUE
"310",12080,190,289346,6735754,TRUE
"311",12090,153,287680,6738666,TRUE
"312",12100,202,290221,6738080,TRUE
"313",12200,218,293300,6741027,TRUE
"314",5330,135,311904,6696171,TRUE
"315",5350,147,310326,6699612,TRUE
"316",5120,136,310633,6678587,TRUE
"317",2900,150,339129,6653057,TRUE
"318",2910,153,340427,6653358,TRUE
"319",2950,154,344296,6651040,TRUE
"320",5680,170,336984,6696476,TRUE
"321",5800,293,354301,6698048,TRUE
"322",6020,185,336500,6723521,TRUE
"323",6040,184,336763,6723866,TRUE
"324",6250,186,338731,6727424,TRUE
"325",6440,276,356353,6731414,TRUE
"326",6460,295,358056,6731224,TRUE
"327",6490,347,341716,6745960,TRUE
"328",6550,513,332075,6772012,TRUE
"329",6580,160,323585,6739571,TRUE
"330",6620,230,315270,6757642,TRUE
"331",6630,221,315684,6758290,TRUE
"332",6640,190,314682,6756479,TRUE
"333",6650,188,313685,6754668,TRUE
"334",6700,200,309978,6763122,TRUE
"335",60,564,367134,6827504,TRUE
"336",90,575,341871,6779534,TRUE
"337",100,333,365592,6780378,TRUE
"338",120,580,376376,6789213,TRUE
"339",180,360,353846,6798632,TRUE
"340",190,360,353664,6800815,TRUE
"341",200,356,352812,6802233,TRUE
"342",250,664,360111,6812248,TRUE
"343",290,557,343434,6812635,TRUE
"344",300,585,341688,6812803,TRUE
"345",6840,230,304128,6781767,TRUE
"346",6850,225,304737,6783295,TRUE
"347",6950,310,304777,6783248,TRUE
"348",7010,240,308637,6785849,TRUE
"349",7030,248,311954,6790100,TRUE
"350",7250,450,325347,6794953,TRUE
