"","stnr","year","month","day","hour","ntime","value","nvalue","DQC","KDVHflag","plausible","err.ext","blist.perm","blist.curr"
"114",17780,2014,7,8,NA,1,9.9,1,NA,1,TRUE,FALSE,FALSE,FALSE
"115",17800,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"116",17810,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"117",17895,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"118",19400,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"119",19430,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"120",19440,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"121",19450,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"122",19480,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"123",19490,2014,7,8,NA,1,0,1,NA,NA,TRUE,FALSE,TRUE,FALSE
"124",19500,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"125",19510,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"126",19520,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"127",19530,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"128",19600,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"129",19610,2014,7,8,NA,1,21.7,1,NA,0,TRUE,FALSE,FALSE,FALSE
"130",19660,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"131",19710,2014,7,8,NA,1,22,1,NA,2,TRUE,FALSE,FALSE,FALSE
"132",19720,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"133",19740,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"134",2090,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
